1;Bělobrádek Pavel MVDr. Ph.D., MPA;43;KDU-ČSL;KDU-ČSL;poslanec PČR;Náchod;0;0
2;Machů Martin Ing.;41;KDU-ČSL;KDU-ČSL;manažer, starosta obce Černčice;Černčice;0;0
3;Půža Miroslav Mgr. Ph.D.;41;VPM;VPM;vysokoškolský pedagog;Hradec Králové;0;0
4;Hamáček Petr Mgr.;42;KDU-ČSL;KDU-ČSL;místostarosta města Jičín;Jičín;0;0
5;Čáp Jan prof. MUDr. CSc.;67;KDU-ČSL;KDU-ČSL;lékař, vysokoškolský učitel;Hradec Králové;0;0
6;Vávrová Dita JUDr.;40;KDU-ČSL;KDU-ČSL;právnička - advokátka;Náchod;0;0
7;Uchytil Miroslav Ing.;62;KDU-ČSL;KDU-ČSL;starosta města Chlumec nad Cidlinou;Chlumec nad Cidlinou;0;0
8;Ludvík Václav Ing.;73;VPM;BEZPP;tajemník Východočeské ovocnářské unie, důchodce;Hradec Králové;0;0
9;Vojáček Jiří Mgr.;54;KDU-ČSL;KDU-ČSL;ředitel školy;Hradec Králové;0;0
10;Maclová Anna Ing.;60;KDU-ČSL;BEZPP;ekonomka, ředitelka Diecézní katolické charity HK;Hradec Králové;0;0
11;Regner Jiří;50;KDU-ČSL;KDU-ČSL;místostarosta města Červený Kostelec;Červený Kostelec;0;0
12;Veselý Jiří MUDr.;51;KDU-ČSL;KDU-ČSL;lékař - kardiolog;Broumov;0;0
13;Čepelková Veronika PhDr.;39;KDU-ČSL;KDU-ČSL;vedoucí Diecézního centra pro seniory;Týniště nad Orlicí;0;0
14;Petráček Antonín MUDr.;52;KDU-ČSL;BEZPP;lékař;Dvůr Králové nad Labem;0;0
15;Kulhánek Tomáš Ing. Bc. DiS.;40;Nestran.;BEZPP;zdravotnický záchranář, starosta obce Česká Čermná;Česká Čermná;0;0
16;Skřítecká Ivana Ing.;52;VPM;BEZPP;ekonomka, manažerka v sociálních službách;Rychnov nad Kněžnou;0;0
17;Derner Michal Ing. MBA;58;KDU-ČSL;KDU-ČSL;starosta obce Všestary, stavební technik;Všestary;0;0
18;Hendrych Tomáš Mgr.;61;VPM;VPM;místostarosta města Trutnov;Trutnov;0;0
19;Knapová Jana Mgr.;56;KDU-ČSL;BEZPP;ředitelka základní školy;Sobotka;0;0
