1;Cabicar Aleš Ing.;54;TOP 09;TOP 09;náměstek hejtmana KHK pro zdrav., ředitel CIAF;Náchod;0;0
2;Springerová Pavlína Mgr. et Mgr. Ph.D.;43;HDK;HDK;prorektorka Univerzity Hradec Králové;Hradec Králové;0;0
3;Koldinský Libor;55;TOP 09;TOP 09;starosta města Týniště nad Orlicí;Týniště nad Orlicí;0;0
4;Petrák Rostislav Ing.;43;TOP 09;TOP 09;starosta města Červený Kostelec;Červený Kostelec;0;0
5;Balcar Jan Mgr. Ph.D.;45;LES;LES;ředitel MAS Království - Jestřebí hory, o. p. s.;Libňatov;0;0
6;Fink Zdeněk MUDr.;65;HDK;HDK;lékař;Hradec Králové;0;0
7;Havel Matěj Ondřej Mgr. Ph.D.;33;TOP 09;TOP 09;ředitel Gymnázia J. K. Tyla Hradec Králové;Hradec Králové;0;0
8;Šidáková Silvie MUDr.;52;TOP 09;TOP 09;primářka rehab. oddělení nemocnice Trutnov;Trutnov;0;0
9;Sommer Milan Ing.;63;TOP 09;TOP 09;ekonom, zastupitel a předseda FV KHK;Hradec Králové;0;0
10;Slezák Kamil;50;TOP 09;TOP 09;místostarosta města Broumov;Broumov;0;0
11;Grulich Jan Mgr.;45;TOP 09;TOP 09;ředitel ZŠ a MŠ Trivium Plus o. p. s. v Dobřanech;Sedloňov;0;0
12;Holásek Jan JUDr. LL.M.;47;HDK;BEZPP;právník, zastupitel města Hradec Králové;Hradec Králové;0;0
13;Tomková Veronika Ing.;34;TOP 09;TOP 09;projektová manažerka v Revitalizace KUKS, o. p. s.;Dvůr Králové nad Labem;0;0
14;Hron Petr;43;LES;LES;starosta města Úpice;Úpice;0;0
15;Perthen Ervín JUDr. MBA;47;TOP 09;BEZPP;advokát, člen Kontrolního výboru Zastupitel. KHK;Hradec Králové;0;0
16;Švorc Zdeněk Ing.;54;TOP 09;TOP 09;starosta obce Staré Hrady, krajský zastupitel;Staré Hrady;0;0
17;Jenček Lubor Ing.;44;TOP 09;BEZPP;starosta města Sobotka;Sobotka;0;0
18;Pour Martin Ing. arch.;43;TOP 09;BEZPP;místostarosta města Hořice, architekt;Hořice;0;0
19;Teplý Lukáš;40;TOP 09;TOP 09;manažer vzdělávání a kvality, zastupitel města;Vrchlabí;0;0
20;Svatošová Věra RNDr.;58;TOP 09;BEZPP;ředitelka SPŠ stavební a OA arch. Jana Letzela;Náchod;0;0
21;Kořínek Martin Ing.;44;TOP 09;BEZPP;1. místostarosta města Nový Bydžov;Nový Bydžov;0;0
22;Kotrbáček Vít;42;TOP 09;TOP 09;restaurátor kamene - kamenosochař;Hořice;0;0
23;Tichý Miloš Bc.;62;TOP 09;TOP 09;místostarosta městyse Častolovice;Častolovice;0;0
24;Stránský Jiří Ing.;69;TOP 09;TOP 09;důchodce;Zámostí-Blata;0;0
25;Veselka Petr Bc.;31;HDK;BEZPP;starosta obce Libčany;Libčany;0;0
26;Staněk Martin Bc. DiS.;40;LES;BEZPP;obchodní manažer, zastupitel města Česká Skalice;Česká Skalice;0;0
27;Bittner Oldřich Ing. arch.;39;TOP 09;TOP 09;architekt, radní města Dobruška;Dobruška;0;0
28;Dohnálek Miloš Mgr. Ing. LL.M.;55;TOP 09;TOP 09;starosta obce Hřibojedy, ekonom, finanční analytik;Hřibojedy;0;0
29;Kalenský Jan Bc.;38;TOP 09;TOP 09;kameraman;Dobruška;0;0
30;Řádek Lukáš Ing.;43;TOP 09;TOP 09;krajinný inženýr, odborník na vodu v krajině;Hradec Králové;0;0
31;Chlubna Miroslav Bc.;47;TOP 09;TOP 09;IT architekt;Lukavec u Hořic;0;0
32;Šindelář Petr Mgr.;65;HDK;HDK;důchodce, předseda atletického klubu AC TJ Jičín;Jičín;0;0
33;Tomašík Štěpán;50;TOP 09;TOP 09;realitní makléř;Častolovice;0;0
34;Staněk František DiS.;63;TOP 09;TOP 09;herec Klicperova divadla;Hradec Králové;0;0
35;Šulc Vojtěch;42;TOP 09;TOP 09;podnikatel;Sobotka;0;0
36;Vonásková Věra;39;TOP 09;TOP 09;fakturantka;Kostelec nad Orlicí;0;0
37;Víšková Eva;68;TOP 09;TOP 09;členka výboru pro sport a volnočasové aktivity KHK;Hradec Králové;0;0
38;Knapovská Miroslava PaedDr.;60;TOP 09;TOP 09;úřednice, členka výboru pro ŽP a zem. Zast. KHK;Rychnov nad Kněžnou;0;0
39;Švamberk Jaroslav JUDr. Ing.;47;LES;LES;pekař, hokynář;Hořice;0;0
40;Jirásko Jaroslav Ing. MBA;53;TOP 09;BEZPP;ředitel základní školy;Lázně Bělohrad;0;0
41;Harbichová Marcela DiS.;51;TOP 09;BEZPP;ředitelka humanitární organizace Jičín;Třtěnice;0;0
42;Lojan Petr PhDr. Ph.D., MBA;46;TOP 09;TOP 09;VŠ pedagog;Hradec Králové;0;0
43;Sofka Jakub Mgr.;28;TOP 09;TOP 09;pedagog na ZŠ Nový Hradec Králové;Hradec Králové;0;0
44;Búry Tomáš PhDr.;42;TOP 09;TOP 09;OSVČ, jednatel MO Českého rybářského svazu;Benátky;0;0
45;Červený Josef;45;LES;BEZPP;starosta města Pilníkov;Pilníkov;0;0
46;Bělík Filip;22;TOP 09;TOP 09;student oboru sociální práce Univerzita HK;Trutnov;0;0
47;Kudrnovský Emil Mgr. Ph.D.;44;TOP 09;TOP 09;ředitel ZŠ a MŠ;Dolní Brusnice;0;0
48;Pirner Jiří Ing.;67;HDK;HDK;zahradník;Hradec Králové;0;0
49;Junek Vladimír;68;TOP 09;TOP 09;živnostník, zastupitel města Hostinné;Hostinné;0;0
50;Paleček Martin doc. Mgr. Ph.D.;46;LES;LES;vysokoškolský pedagog Univerzita Hradec Králové;Hradec Králové;0;0
