1;Červíček Martin brig. gen. v. v. Mgr.;48;ODS;ODS;senátor, 1. náměstek hejtmana KHK;Vysokov;0;0
2;Berdychová Martina Mgr.;49;VČ;VČ;náměstkyně hejtmana Královéhradeckého kraje;Holovousy;0;0
3;Cogan Rudolf JUDr. Ing. Ph.D.;49;STAN;BEZPP;právník a ekonom, radní kraje pro finance a IT;Nová Paka;0;0
4;Řehoř Václav Mgr.;40;ODS;ODS;radní Královéhradeckého kraje;Blešno;0;0
5;Horáček Josef;46;STAN;STAN;starosta města Jaroměř;Jaroměř;0;0
6;Drejslová Jana Mgr.;57;ODS;BEZPP;místostarostka města RK, zastupitelka KHK;Rychnov nad Kněžnou;0;0
7;Kracíková Dana Ing.;59;VČ;BEZPP;starostka města Železnice, býv. řed. nemocnice;Železnice;0;0
8;Adamec Ivan Mgr.;60;ODS;ODS;poslanec PS PČR, starosta města Trutnov;Trutnov;0;0
9;Brandejs Milan;52;STAN;STAN;OSVČ, ředitel destinační společnosti Broumovska;Teplice nad Metují;0;0
10;Brykner Ladislav Ing.;56;ODS;ODS;projektový manažer;Jičín;0;0
11;Maloch Aleš Ing.;44;VČ;VČ;starosta obce Rudník, předseda MAS Krkonoše;Rudník;0;0
12;Škop Jiří Mgr.;44;ODS;ODS;místostarosta města Police nad Metují;Police nad Metují;0;0
13;Potůčková Lucie Mgr.;45;STAN;STAN;právník, starostka městyse Mladé Buky;Mladé Buky;0;0
14;Kasík Libor MgA.;50;ODS;ODS;ředitel divadla UFFO;Trutnov;0;0
15;Rezková Helena;55;VČ;VČ;nakladatelka, starostka Sokolské župy;Vlkov;0;0
16;Louda Pavel Ing.;61;ODS;ODS;starosta města Nový Bydžov;Nový Bydžov;0;0
17;Pechar Jiří;53;STAN;BEZPP;starosta města Nechanice;Nechanice;0;0
18;Jankovský Pavel PaedDr.;66;ODS;ODS;emeritní ředitel střední školy, rybnikář;Hradec Králové;0;0
19;Balcárek Radek;54;VČ;BEZPP;ředitel projektu Königgrätz 1866;Všestary;0;0
20;Káňa Pavel Mgr.;46;ODS;ODS;středoškolský učitel;Trutnov;0;0
21;Sobotka Jan Ing.;59;STAN;BEZPP;starosta města Vrchlabí;Vrchlabí;0;0
22;Stanislav Antonín Mgr. Ph.D.;35;ODS;ODS;advokát, ředitel domova pro seniory;Havlovice;0;0
23;Prouza Martin Ing.;57;VČ;BEZPP;dopravní technolog, radní města Nové Město n/M;Nové Město nad Metují;0;0
24;Lukaštík Dominik;23;ODS;ODS;ředitel kina, projektový poradce;Hořice;0;0
25;Rejzl Jan Mgr.;38;STAN;STAN;starosta města Vamberk;Vamberk;0;0
26;Lžíčař Petr Ing.;58;ODS;BEZPP;starosta města Dobruška;Dobruška;0;0
27;Svoboda Aleš;53;VČ;BEZPP;starosta města Hořice;Hořice;0;0
28;Král Josef Ing.;61;ODS;ODS;starosta městyse Velké Poříčí;Velké Poříčí;0;0
29;Drašnar Roman Mgr.;55;STAN;BEZPP;starosta města Třebechovice pod Orebem;Třebechovice pod Orebem;0;0
30;Procházka Miroslav Ing.;60;ODS;ODS;vedoucí odboru informatiky Fakultní nemocnice HK;Hradec Králové;0;0
31;Šturma Vítězslav Ing. MBA;45;VČ;BEZPP;zdravotnický záchranář;Dvůr Králové nad Labem;0;0
32;Mottl Luboš Ing.;57;ODS;ODS;ředitel nemocnice, ekonom;Kostelec nad Orlicí;0;0
33;Štěrbová Hana;55;STAN;BEZPP;starostka městyse Pecka;Pecka;0;0
34;Bohutínská Dana;50;ODS;ODS;OSVČ;Dvůr Králové nad Labem;0;0
35;Joska David Mgr.;41;VČ;VČ;starosta obce Čermná nad Orlicí;Čermná nad Orlicí;0;0
36;Pospíšil Milan Bc.;49;ODS;BEZPP;příslušník Hasičské záchranné sl.- velitel stanice;Nová Paka;0;0
37;Švábl Miroslav MUDr.;61;STAN;BEZPP;primář intenzivní péče;Broumov;0;0
38;Šalda Josef Ing.;37;ODS;ODS;starosta obce Polom;Polom;0;0
39;Dvořáček Pavel Ing.;61;VČ;BEZPP;starosta obce Havlovice;Havlovice;0;0
40;Kůta Miloslav Mgr.;62;ODS;BEZPP;učitel;Jičín;0;0
41;Šnajdr Libor;68;STAN;STAN;ředitel sportovního klubu;Nové Město nad Metují;0;0
42;Škopová Petra Ing. MBA;52;ODS;ODS;pojišťovací makléřka OSVČ, jednatelka firmy;Horní Maršov;0;0
43;Benešová Martina Bc.;41;VČ;VČ;starostka obce Žďár nad Orlicí;Žďár nad Orlicí;0;0
44;Martinov Petr MUDr.;63;ODS;ODS;lékař;Pec pod Sněžkou;0;0
45;Žárský Radim Mgr.;48;ODS;ODS;evangelický farář, učitel;Jaroměř;0;0
46;Žďárek Milan Ing.;61;STAN;BEZPP;starosta obce České Meziříčí;České Meziříčí;0;0
47;Moravec Martin Mgr.;41;ODS;BEZPP;starosta města Borohrádek, pedagog;Borohrádek;0;0
48;Huňat Jaroslav;45;STAN;BEZPP;starosta obce Dubenec;Dubenec;0;0
49;Vlasák Oldřich Ing.;64;ODS;ODS;zastupitel města a kraje, emeritní primátor;Hradec Králové;0;0
50;Liška Jiří MVDr.;71;ODS;BEZPP;bývalý senátor a starosta města Jičín;Jičín;0;0
