1;BOS;BEZPEČNOST, ODPOVĚDNOST, SOLIDARITA;
2;SKP - ŘN;Strana konzervativní pravice - Řád národa;
3;DSSS+ČiKR;Čistý a lepší sever;
4;ČSSD + Zelení;SPOLU PRO KRAJ - Osobnosti kraje, ČSSD a Zelení;
5;DSZ-ZA PR.ZVÍŘ.;Demokratická strana zelených - ZA PRÁVA ZVÍŘAT;
6;Trikol+Souk+NEZ;TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ;
7;STAN;STAROSTOVÉ A NEZÁVISLÍ;
8;Trikol+Soukrom;Trikolóra hnutí občanů a Strana soukromníků České republiky;
9;KDU+ADS+Nestr.;KDU-ČSL, ADS A NESTRANÍCI - KOALICE PRO PLZEŇSKÝ KRAJ;
10;SOS;Strana pro otevřenou společnost;
11;ODS+TOP 09;ODS a TOP 09;
12;KDU-ČSL;KDU-ČSL;
13;Zelení;Strana zelených;
14;MS Piráti;Moravská a Slezská pirátská strana;
15;VČ;VÝCHODOČEŠI;
16;SPD;Svoboda a přímá demokracie (SPD);
17;KDU+SNKED+Nestr;Koalice pro Pardubický kraj;
18;ND;Národní demokracie;
19;Piráti;Česká pirátská strana;
20;SLK;Starostové pro Liberecký kraj;
21;PIRÁTI a STAN;PIRÁTI a STAROSTOVÉ;
22;Moravané;Moravané, pro zachování Moravy se při sčítání lidu 2021 opět přihlasme k moravské národnosti;
23;VIZENS;VIZE - národní socialisté;
24;DSSS+ČiKR;STOP rouškám a likvidaci ekonomiky;
25;TOP+KAN+Monarch;Pro TOP Vysočinu;
26;KVC+VOK;VOK - Volba pro kraj s podporou hnutí Karlovaráci;
27;STAN+SNK ED;Starostové pro Vysočinu;
28;VOK;VOK - Volba pro kraj;
29;ODS+TOP 09;Občanská demokratická strana s podporou TOP 09;
30;ČSSD+SproK;3PK - Pro prosperující Pardubický kraj;
31;Trikol+Soukrom;TRIKOLÓRA - SOUKROMNÍCI;
32;KDU+VPM+Nestr.;Koalice pro Královéhradecký kraj - KDU-ČSL - VPM - Nestraníci;
33;ODS;Občanská demokratická strana;
34;PRO Zdraví;Zdraví Sport Prosperita;
35;DSSS+ČiKR;Dělnická strana sociální spravedlnosti - Čistý kraj - Bez ubytoven zahraničních dělníků!;
36;DSSS+ČiKR;Dělnická strana sociální spravedlnosti - STOP KRIMIGRANTŮM!;
37;JEDNOTNÍ;Jednotní;
38;DSSS;Dělnická strana sociální spravedlnosti;
39;SNK1;Sdružení nezávislých kandidátů 1 - Starostové našeho kraje;
40;SPR-RSČMS;SDRUŽENÍ PRO REPUBLIKU - REPUBLIKÁNSKÁ STRANA ČECH, MORAVY A SLEZSKA;
41;S.cz;Severočeši.cz;
42;UFO+ProMOST;LEPŠÍ SEVER;
43;ANS;ALIANCE NÁRODNÍCH SIL;
44;TOP+Z+LES+MZH+I;Spolu pro Moravu;
45;ČSSD;Česká strana sociálně demokratická;
46;ODS+STO;ODS a Starostové pro občany;
47;TOP 09+HDK+LES;Spojenci pro Královéhradecký kraj;
48;TOP+Hlas+Zelení;Spojenci pro Středočeský kraj - TOP 09, Hlas, Zelení;
49;HNHRM;MÍSTNÍ HNUTÍ NEZÁVISLÝCH ZA HARMONICKÝ ROZVOJ OBCÍ A MĚST;
50;ANO;ANO 2011;
51;STAN+SOL;Starostové pro jižní Moravu;
52;ČSSD a POK;ČSSD a Patrioti Olomouckého kraje;
53;KDU-ČSL+TOP 09;TOP 09 a KDU-ČSL - Společně pro jižní Čechy;
54;STAN+Zelení+NEZ;STAN, ZELENÍ a NEZÁVISLÍ;
55;Soukrom+Svobod;Soukromníci a Svobodní;
56;Levice;Levice;
57;ODA+Hlas+SNK ED;Pro krásný kraj - Hlas nezávislých osobností! Koalice ODA, HLAS, SNK ED;
58;STAN+Z+PROPLZEŇ;STAROSTOVÉ (STAN) s JOSEFEM BERNARDEM a podporou Zelených, PRO Plzeň a Idealistů;
59;KDU-ČSL+TOP 09;Společně pro Liberecký kraj;
60;DSSS+ČiKR;Dělnická strana sociální spravedlnosti - Čistý kraj;
61;KDU-ČSL+ODS;Koalice ODS a KDU-ČSL s podporou Soukromníků;
62;TOP+STAN;STAN - Starostové a nezávislí společně s KOA, VPM Cheb a TOP 09;
63;KSČM;Komunistická strana Čech a Moravy;
64;KDU+Z+TOP+ProOl;Spojenci - Koalice pro Olomoucký kraj (KDU-ČSL, TOP 09, Strana zelených, ProOlomouc);
65;Soukromníci;Strana soukromníků České republiky;
66;Soukromníci+ODA;Soukromníci a ODA;
67;PB;Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET;
68;Monarchiste.cz;Koruna Česká (monarchistická strana Čech, Moravy a Slezska);
69;ODA;Občanská demokratická aliance;
70;Trikolóra;Trikolóra hnutí občanů;
71;Svobodní;Svobodní;
72;Z 2020;Změna 2020;
73;ODS+STAN+VČ;Občanská demokratická strana + STAROSTOVÉ A NEZÁVISLÍ a VÝCHODOČEŠI;
74;ODS+TOP 09;Občanská demokratická strana s podporou TOP 09 a nezávislých starostů;
75;ZaRegion;ZaRegion;
76;ODS+Svobod.+SOM;Občanská demokratická strana s podporou Svobodných a hnutí Starostové a osobnosti pro Moravu;
77;JP+LES+ED+Z+TOP;Spojenci pro kraj;
78;Změna+NBPLK;Změna pro lidi a pro krajinu;
79;ANK 2020;Alternativa pro nezávislé kandidáty 2020 - ANK 2020;
80;JIH 12;JIHOČEŠI 2012;
81;Starostové;Starostové pro kraj;
82;Rozumní;ROZUMNÍ - Petr Hannig - za spravedlnost a životní jistoty;
83;MPK;Mladí pro Pardubický kraj;
84;MZH;Moravské zemské hnutí;
85;Zelení+LES;Pro KRAJinu;
