KRZAST;KSTRANA;PORCISLO;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;PLATNOST;POCHLASU;POCPROC;MANDAT;PORADIMAND;PORADINAHR
1;5;1;"O¾ga";"Bruncková";"Ing.";"";63;"dùchodce, aktivní doèaskáøka, ochránce zvíøat";"Rpety";531715;99;715;"A";0;0;"N";0;0
1;5;2;"Karolína";"Lukavská";"";"";50;"zlatnice, ochránce zvíøat";"Mìlník";534676;99;715;"A";0;0;"N";0;0
1;5;3;"Gabriela";"Kleinová";"";"";46;"vizáistka, èlenka XR, ochránce zvíøat";"Velvary";533041;99;715;"A";0;0;"N";0;0
1;5;4;"Renata";"Vybíralová";"";"";48;"sanitáøka, ochránce zvíøat";"Tınec nad Sázavou";530841;99;715;"A";0;0;"N";0;0
1;5;5;"Petr";"Svoboda";"";"";41;"øidiè, ochránce, zvíøat";"Pyšely";538680;99;715;"A";0;0;"N";0;0
1;5;6;"Jana";"Køíková";"";"";46;"peèovatelka, ochránce zvíøat";"Kolín";533165;99;715;"A";0;0;"N";0;0
1;5;7;"Zuzana";"Belluová";"";"";61;"invalidní dùchodce, ochránce zvíøat";"Èelákovice";538132;53;715;"A";0;0;"N";0;0
1;7;1;"Petra";"Pecková";"Mgr.";"";44;"starostka, urnalistka, novináøka";"Mnichovice";538493;99;166;"A";0;0;"N";0;0
1;7;2;"Vít";"Rakušan";"Mgr.";"";42;"poslanec, støedoškolskı uèitel";"Kolín";533165;166;166;"A";0;0;"N";0;0
1;7;3;"Vìslav";"Michalik";"Ing.";"CSc.";57;"starosta, fyzik";"Dolní Bøeany";539210;166;166;"A";0;0;"N";0;0
1;7;4;"Zdenìk";"Volf";"Mgr.";"";39;"starosta, právník";"Bezno";535478;1;166;"A";0;0;"N";0;0
1;7;5;"Ondøej";"Lochman";"Mgr.";"Ph.D.";39;"starosta, pedagog";"Mnichovo Hradištì";536326;166;166;"A";0;0;"N";0;0
1;7;6;"Pavla";"Štrobachová";"Mgr.";"MPA";60;"starostka, zdravotní sestra";"Smeèno";532835;99;166;"A";0;0;"N";0;0
1;7;7;"Daniel";"Marek";"Mgr.";"";39;"námìstek primátora, projektovı manaer";"Mladá Boleslav";535419;99;166;"A";0;0;"N";0;0
1;7;8;"Michael";"Kašpar";"Mgr.";"";37;"starosta, uèitel kolínského gymnázia";"Kolín";533165;99;166;"A";0;0;"N";0;0
1;7;9;"Petr";"Boreckı";"Mgr.";"";47;"starosta, právník";"Úvaly";538957;99;166;"A";0;0;"N";0;0
1;7;10;"Ludìk";"Jeništa";"Mgr.";"";59;"starosta, uèitel";"Vlašim";530883;99;166;"A";0;0;"N";0;0
1;7;11;"Filip";"Koøínek";"Mgr.";"";46;"starosta, ekonom, konzultant";"Èernošice";539139;99;166;"A";0;0;"N";0;0
1;7;12;"Karel";"Marek";"Mgr.";"";43;"zastupitel, matematik, vedoucí dìtského oddílu";"Lysá nad Labem";537454;1;166;"A";0;0;"N";0;0
1;7;13;"Petr";"Halada";"";"";58;"starosta, uèitel";"Kamık nad Vltavou";540439;99;166;"A";0;0;"N";0;0
1;7;14;"Hana";"Hajná";"";"";59;"starostka, policistka";"Krouèová";541940;166;166;"A";0;0;"N";0;0
1;7;15;"Stanislav";"Boloòskı";"Mgr.";"";72;"pedagog, publicista";"Roztoky";539627;129;166;"A";0;0;"N";0;0
1;7;16;"Pavel";"Fojtík";"PhDr.";"";45;"krajskı zastupitel, historik";"Nymburk";537004;99;166;"A";0;0;"N";0;0
1;7;17;"Milan";"Vácha";"Mgr.";"";44;"starosta, projektovı manaer vıstavby dat. center";"Psáry";539597;99;166;"A";0;0;"N";0;0
1;7;18;"Martin";"Exner";"";"";56;"starosta, obchodník v zahranièním obchodu";"Nová Ves";535117;166;166;"A";0;0;"N";0;0
1;7;19;"Vlastislav";"Málek";"JUDr.";"";65;"starosta, advokát";"Èáslav";534005;99;166;"A";0;0;"N";0;0
1;7;20;"Luboš";"Balata";"Ing.";"";57;"radní, analytik, konzultant SAP";"Benešov";529303;99;166;"A";0;0;"N";0;0
1;7;21;"Michaela";"Mandáková";"MUDr.";"";54;"radní, lékaøka";"Èáslav";534005;99;166;"A";0;0;"N";0;0
1;7;22;"Lenka";"Mrzílková";"Mgr.";"";59;"místostarostka, støedoškolská uèitelka";"Neratovice";535087;99;166;"A";0;0;"N";0;0
1;7;23;"Markéta";"Balková";"";"";46;"starostka, manaerka cestovního ruchu";"Hvoïany";540315;99;166;"A";0;0;"N";0;0
1;7;24;"Tomáš";"Kutil";"Bc.";"";35;"statutární námìstek primátora,jednatel spoleènosti";"Kladno";532053;99;166;"A";0;0;"N";0;0
1;7;25;"Jaroslav";"Èervinka";"";"";60;"starosta, zemìdìlec";"Podìbrady";537683;99;166;"A";0;0;"N";0;0
1;7;26;"Vìra";"Kováøová";"Ing.";"";56;"poslankynì, ekonomka, lektorka nìmeckého jazyka";"Chınì";539309;166;166;"A";0;0;"N";0;0
1;7;27;"Zdenìk";"Hraba";"JUDr. Ing.";"Ph.D.";45;"senátor, vysokoškolskı pedagog, advokát";"Øíèany";538728;166;166;"A";0;0;"N";0;0
1;7;28;"Petr";"Holeèek";"";"";63;"senátor, uèitel";"Kralupy nad Vltavou";534951;99;166;"A";0;0;"N";0;0
1;7;29;"Silvia";"Doušová";"Mgr. Bc.";"";46;"místostarostka, projekt. manaerka, pøekladatelka";"Kutná Hora";533955;99;166;"A";0;0;"N";0;0
1;7;30;"Milan";"Schweigstill";"Mgr.";"";55;"místostarosta, uèitel";"Mìlník";534676;99;166;"A";0;0;"N";0;0
1;7;31;"Robert";"Pecha";"Ing.";"";43;"systémovı analytik, jednatel spoleènosti";"Brandıs nad Labem-Stará Boleslav";538094;1;166;"A";0;0;"N";0;0
1;7;32;"Jan";"Jirovskı";"Ing.";"";40;"sportovní manaer";"Brandıs nad Labem-Stará Boleslav";538094;99;166;"A";0;0;"N";0;0
1;7;33;"Petr";"Horák";"Ing. Bc.";"";52;"øeditel Charity Beroun";"Beroun";531057;99;166;"A";0;0;"N";0;0
1;7;34;"Miloslav";"Niè";"Ing.";"Ph.D.";51;"radní, vìdeckı informatik, VŠ uèitel, programátor";"Slanı";532819;166;166;"A";0;0;"N";0;0
1;7;35;"Renáta";"Vesecká";"Mgr.";"";47;"radní, støedoškolská uèitelka, sportovní trenérka";"Pøíbram";539911;99;166;"A";0;0;"N";0;0
1;7;36;"Martin";"Kadrnoka";"Mgr.";"";47;"starosta, uèitel";"Tınec nad Sázavou";530841;99;166;"A";0;0;"N";0;0
1;7;37;"Martin";"Hujer";"Mgr.";"";51;"starosta, uèitel";"Zruè nad Sázavou";534633;99;166;"A";0;0;"N";0;0
1;7;38;"Ludmila";"Šimková";"Mgr.";"";47;"místostarostka, uèitelka";"Milovice";537501;1;166;"A";0;0;"N";0;0
1;7;39;"Pavel";"Smutnı";"Ing.";"";44;"starosta, øeditel jazykové školy, uèitel";"Jesenice";539325;99;166;"A";0;0;"N";0;0
1;7;40;"Viktor";"Liška";"Mgr.";"";48;"starosta, uèitel";"Ratmìøice";532550;99;166;"A";0;0;"N";0;0
1;7;41;"Vítìzslav";"Kaliba";"Mgr.";"MPA";39;"starosta, úøedník, instruktor sebeobrany Krav Maga";"Baš";538051;99;166;"A";0;0;"N";0;0
1;7;42;"Roman";"Foršt";"Ing.";"";38;"starosta, projektovı manaer fondù EU";"Stochov";532860;99;166;"A";0;0;"N";0;0
1;7;43;"Petr";"Digrin";"Ing.";"Ph.D.";49;"kastelán, vedoucí správy Státního zámku";"Mníšek pod Brdy";540765;99;166;"A";0;0;"N";0;0
1;7;44;"Josef";"Švandrlík";"Ing.";"";56;"zastupitel, ekonom";"Zajeèov";531995;99;166;"A";0;0;"N";0;0
1;7;45;"Václav";"Hrubı";"";"";45;"starosta, obchodní zástupce v døevaøském prùmyslu";"Svatı Jan";541397;1;166;"A";0;0;"N";0;0
1;7;46;"Jaroslav";"Pošta";"Mgr.";"";58;"starosta, uèitel";"Tuchlovice";532983;99;166;"A";0;0;"N";0;0
1;7;47;"Petr";"Šibrava";"";"";61;"krajskı zastupitel, konzultant";"Sázava";534382;166;166;"A";0;0;"N";0;0
1;7;48;"Lubomír";"Kocman";"";"";48;"starosta, IT specialista";"Rudná";531723;99;166;"A";0;0;"N";0;0
1;7;49;"Jan";"Jiskra";"";"";54;"starosta, specialista na rozvoj mikroregionu";"Starkoè";530875;166;166;"A";0;0;"N";0;0
1;7;50;"Vìra";"Èermáková";"";"";67;"starostka, redaktorka";"Velké Pøílepy";539813;166;166;"A";0;0;"N";0;0
1;7;51;"Marcel";"Slováèek";"Ing.";"MBA";35;"starosta";"Dobroèovice";565008;166;166;"A";0;0;"N";0;0
1;7;52;"Petr";"Zavøel";"Mgr.";"";31;"øeditel Farní charity Kolín, sociální pracovník";"Peèky";537641;1;166;"A";0;0;"N";0;0
1;7;53;"Ivo";"Kurhajec";"";"";58;"místostarosta, pøedseda DSO Dolní Povltaví";"Klecany";538311;99;166;"A";0;0;"N";0;0
1;7;54;"Jaroslav";"Šebek";"";"";65;"radní, jednatel mìstské spoleènosti, skautskı ved.";"Mladá Boleslav";535419;166;166;"A";0;0;"N";0;0
1;7;55;"Petr";"Chotívka";"Ing.";"";51;"bankovní poradce";"Bøeznice";540013;99;166;"A";0;0;"N";0;0
1;7;56;"Martin";"Sıkora";"";"";48;"starosta, elektromechanik, bıv. státní úøedník";"Radim";533629;99;166;"A";0;0;"N";0;0
1;7;57;"Václav";"Hrabì";"";"";51;"starosta, soukromı zemìdìlec";"Sedlec";529591;166;166;"A";0;0;"N";0;0
1;7;58;"Jiøí";"Beneš";"";"";46;"starosta, truhláø";"Pøerov nad Labem";537721;99;166;"A";0;0;"N";0;0
1;7;59;"Martin Samuel";"Charvát";"Mgr.";"";52;"starosta, pedagog";"Plaòany";533581;99;166;"A";0;0;"N";0;0
1;7;60;"Milan";"Novotnı";"Ing.";"";54;"OSVÈ - databázovı specialista";"Benešov";529303;1;166;"A";0;0;"N";0;0
1;7;61;"Tomáš";"Havlíèek";"Ing.";"";62;"místostarosta, projektant";"Novı Knín";540901;99;166;"A";0;0;"N";0;0
1;7;62;"Soòa";"Køenová";"Mgr.";"";53;"starostka, uèitelka";"Kácov";534129;99;166;"A";0;0;"N";0;0
1;7;63;"Libor";"Kvasnièka";"";"";57;"obchodník, starosta Øevnic v letech 2010-2014";"Øevnice";539643;99;166;"A";0;0;"N";0;0
1;7;64;"Vladimír";"Vytiska";"Ing.";"";65;"starosta, muzikant";"Únìtice";539805;99;166;"A";0;0;"N";0;0
1;7;65;"Ivan";"Zetek";"";"";59;"starosta, lesník";"Svárov";599433;99;166;"A";0;0;"N";0;0
