KSTRANA;VSTRANA;NAZEVCELK;NAZEV_STRK;ZKRATKAK30;ZKRATKAK8;POCSTRVKO;SLOZENI;STAVREG;PLAT_STR;SLOZNEPLAT;POCMANDCR;NAZEVPLNY
1;1179;"BEZPEÈNOST, ODPOVÌDNOST, SOLIDARITA";"BEZPEÈNOST, ODPOVÌDNOST, SOLIDARITA";"BEZPEÈNOST,ODPOVÌDNOST,SOLID.";"BOS";1;"1179";"2202222222222";"A";"";0;""
2;769;"Strana konzervativní pravice - Øád národa";"Strana konzervativní pravice - Øád národa";"Str. konz. pravice-Øád národa";"SKP - ØN";1;"769";"2220222222222";"A";"";0;""
3;1453;"Èistý a lepší sever";"Èistý a lepší sever";"Koalice DSSS, ÈiKR";"DSSS+ÈiKR";2;"156,1021";"2222022222222";"A";"";0;""
4;227;"SPOLU PRO KRAJ - Osobnosti kraje, ÈSSD a Zelení";"SPOLU PRO KRAJ - Osobnosti kraje, ÈSSD a Zelení";"Koalice ÈSSD, Zelení";"ÈSSD + Zelení";2;"005,007";"2222220222222";"A";"";0;""
5;715;"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených - ZA PRÁVA ZVÍØAT";"Demokratická strana zelených";"DSZ-ZA PR.ZVÍØ.";1;"715";"0000000000000";"A";"";0;""
6;1458;"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ";"TRIKOLORA - SOUKROMNÍCI - NEZÁVISLÍ";"Trikolóra, Soukromníci, NEZ";"Trikol+Souk+NEZ";3;"088,716,1227";"2222222222202";"A";"";0;""
7;166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"0022022022202";"A";"";0;""
8;1446;"Trikolóra hnutí obèanù a Strana soukromníkù Èeské republiky";"Trikolóra hnutí obèanù a Strana soukromníkù ÈR";"Trikolóra a Strana soukr. ÈR";"Trikol+Soukrom";2;"716,1227";"2222222022222";"A";"";0;""
9;1474;"KDU-ÈSL, ADS A NESTRANÍCI - KOALICE PRO PLZEÒSKÝ KRAJ";"KDU-ÈSL, ADS A NESTRANÍCI - KOALICE PRO PLZ. KRAJ";"KDU-ÈSL, ADS A NESTRANÍCI";"KDU+ADS+Nestr.";3;"001,181,1119";"2202222222222";"A";"";0;""
10;103;"Strana pro otevøenou spoleènost";"Strana pro otevøenou spoleènost";"Str.pro otevøenou spoleènost";"SOS";1;"103";"2222202222222";"A";"";0;""
